              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      0.5750000      0.0000000      0.3286450      0.3301180      1.3101616      1.3194089      2.0488309      2.2096427      2.9549028      2.9749176      5.2141415      5.1933038      7.8124505      7.6473340      8.4172404      8.2537134     11.6303715     11.6677087     15.4698859     15.5309981     17.8304225     17.9885010
      0.6000000      0.0000000      0.3286450      0.3301862      1.3101616      1.3197931      2.0488309      2.2157290      2.9549028      2.9755814      5.2141415      5.1928726      7.8124505      7.6465659      8.4172404      8.2536143     11.6303715     11.6668347     15.4698859     15.5273394     17.8304225     17.9744577
      0.6250000      0.0000000      0.3286450      0.3302541      1.3101616      1.3201694      2.0488309      2.2216016      2.9549028      2.9762070      5.2141415      5.1925108      7.8124505      7.6466078      8.4172404      8.2543760     11.6303715     11.6656956     15.4698859     15.5231251     17.8304225     17.9588092
      0.6500000      0.0000000      0.3286450      0.3303216      1.3101616      1.3205375      2.0488309      2.2272530      2.9549028      2.9767932      5.2141415      5.1922195      7.8124505      7.6474594      8.4172404      8.2559945     11.6303715     11.6642998     15.4698859     15.5183962     17.8304225     17.9417300
      0.6750000      0.0000000      0.3286450      0.3303889      1.3101616      1.3208971      2.0488309      2.2326759      2.9549028      2.9773390      5.2141415      5.1919995      7.8124505      7.6491167      8.4172404      8.2584613     11.6303715     11.6626573     15.4698859     15.5131982     17.8304225     17.9234104
      0.7000000      0.0000000      0.3286450      0.3304557      1.3101616      1.3212479      2.0488309      2.2378633      2.9549028      2.9778434      5.2141415      5.1918518      7.8124505      7.6515715      8.4172404      8.2617634     11.6303715     11.6607802     15.4698859     15.5075814     17.8304225     17.9040545
      0.7250000      0.0000000      0.3286450      0.3305222      1.3101616      1.3215896      2.0488309      2.2428088      2.9549028      2.9783054      5.2141415      5.1917767      7.8124505      7.6548118      8.4172404      8.2658834     11.6303715     11.6586820     15.4698859     15.5016002     17.8304225     17.8838780
      0.7500000      0.0000000      0.3286450      0.3305883      1.3101616      1.3219220      2.0488309      2.2475058      2.9549028      2.9787242      5.2141415      5.1917744      7.8124505      7.6588219      8.4172404      8.2707997     11.6303715     11.6563780     15.4698859     15.4953123     17.8304225     17.8631059
      0.7750000      0.0000000      0.3286450      0.3306540      1.3101616      1.3222447      2.0488309      2.2519484      2.9549028      2.9790990      5.2141415      5.1918451      7.8124505      7.6635820      8.4172404      8.2764863     11.6303715     11.6538849     15.4698859     15.4887786     17.8304225     17.8419695
      0.8000000      0.0000000      0.3286450      0.3307193      1.3101616      1.3225576      2.0488309      2.2561309      2.9549028      2.9794291      5.2141415      5.1919884      7.8124505      7.6690691      8.4172404      8.2829135     11.6303715     11.6512210     15.4698859     15.4820622     17.8304225     17.8207044
